"id","average_wind_speed","gust_wind_speed","wind_direction","rainfall","temperature","humidity","light","uvi","station_name","timestamp"
547,0,0,102,3,20,26,0,0,b0,2022-02-16 02:38:35.797679+01
548,0,0,102,3,20,27,0,0,b0,2022-02-16 02:48:27.908535+01
549,0,0,102,3,20,27,0,0,b0,2022-02-16 02:51:55.816497+01
550,0,0,102,3,20,27,0,0,b0,2022-02-16 02:54:51.83576+01
551,0,0,103,3,20,27,0,0,b0,2022-02-16 02:56:27.824884+01
552,0,0,102,3,20,27,0,0,b0,2022-02-16 02:58:35.799586+01
553,0,0,102,3,20,27,0,0,b0,2022-02-16 03:01:47.838406+01
554,0,0,102,3,20,27,0,0,b0,2022-02-16 03:06:35.846306+01
555,0,0,103,3,20,27,0,0,b0,2022-02-16 03:08:59.863443+01
556,0,0,103,3,20,27,0,0,b0,2022-02-16 03:10:51.839947+01
557,0,0,102,3,20,27,0,0,b0,2022-02-16 03:14:51.836771+01
558,0,0,102,3,20,27,0,0,b0,2022-02-16 03:18:51.856481+01
559,0,0,102,3,20,27,0,0,b0,2022-02-16 03:26:35.869165+01
560,0,0,102,3,20,27,0,0,b0,2022-02-16 03:28:43.893409+01
561,0,0,102,3,20,27,0,0,b0,2022-02-16 03:29:47.885741+01
562,0,0,102,3,20,27,0,0,b0,2022-02-16 03:44:27.942329+01
563,0,0,102,3,20,27,0,0,b0,2022-02-16 03:47:23.934583+01
564,0,0,102,3,20,27,0,0,b0,2022-02-16 03:47:56.01968+01
565,0,0,102,3,20,27,0,0,b0,2022-02-16 03:49:00.038468+01
566,0,0,102,3,20,27,0,0,b0,2022-02-16 03:53:15.973121+01
567,0,0,102,3,20,27,0,0,b0,2022-02-16 03:55:07.979659+01
568,0,0,102,3,20,27,0,0,b0,2022-02-16 03:59:23.986923+01
569,0,0,102,3,20,27,0,0,b0,2022-02-16 04:01:47.940099+01
570,0,0,102,3,20,27,0,0,b0,2022-02-16 04:12:27.998958+01
571,0,0,102,3,20,27,0,0,b0,2022-02-16 04:22:36.03739+01
572,0,0,102,3,20,27,0,0,b0,2022-02-16 04:23:56.030656+01
573,0,0,102,3,20,27,0,0,b0,2022-02-16 04:27:40.047784+01
574,0,0,102,3,20,27,0,0,b0,2022-02-16 04:28:12.04022+01
575,0,0,102,3,20,27,0,0,b0,2022-02-16 04:32:12.043578+01
576,0,0,102,3,20,27,0,0,b0,2022-02-16 04:36:28.054998+01
577,0,0,102,3,20,27,0,0,b0,2022-02-16 04:37:00.016074+01
578,0,0,102,3,20,27,0,0,b0,2022-02-16 04:41:32.072366+01
579,0,0,102,3,20,27,0,0,b0,2022-02-16 04:51:56.2035+01
580,0,0,102,3,20,27,0,0,b0,2022-02-16 04:52:44.099075+01
581,0,0,102,3,20,27,0,0,b0,2022-02-16 05:02:52.110692+01
582,0,0,102,3,20,27,0,0,b0,2022-02-16 05:03:08.132512+01
583,0,0,103,3,20,27,0,0,b0,2022-02-16 05:15:24.152865+01
584,0,0,102,3,20,27,0,0,b0,2022-02-16 05:28:44.170583+01
585,0,0,102,3,20,27,0,0,b0,2022-02-16 05:29:16.262201+01
586,0,0,103,3,20,27,0,0,b0,2022-02-16 05:31:40.160699+01
587,0,0,103,3,20,27,0,0,b0,2022-02-16 05:40:44.200709+01
588,0,0,102,3,20,27,0,0,b0,2022-02-16 05:43:56.209546+01
589,0,0,102,3,20,27,0,0,b0,2022-02-16 05:45:00.212147+01
590,0,0,102,3,20,27,0,0,b0,2022-02-16 05:50:36.231412+01
591,0,0,102,3,20,28,0,0,b0,2022-02-16 05:51:56.333706+01
592,0,0,102,3,20,27,0,0,b0,2022-02-16 05:52:44.190002+01
593,0,0,102,3,20,28,0,0,b0,2022-02-16 05:59:24.253842+01
594,0,0,102,3,20,28,0,0,b0,2022-02-16 05:59:40.197979+01
595,0,0,102,3,20,28,0,0,b0,2022-02-16 06:00:12.20165+01
596,0,0,102,3,20,28,0,0,b0,2022-02-16 06:02:04.256791+01
597,0,0,103,3,20,28,0,0,b0,2022-02-16 06:07:40.264934+01
598,0,0,102,3,20,28,0,0,b0,2022-02-16 06:09:48.253322+01
599,0,0,102,3,20,28,0,0,b0,2022-02-16 06:12:28.3395+01
600,0,0,102,3,20,28,0,0,b0,2022-02-16 06:14:52.431122+01
601,0,0,102,3,20,28,0,0,b0,2022-02-16 06:18:20.288023+01
602,0,0,102,3,20,28,0,0,b0,2022-02-16 06:22:20.248789+01
603,0,0,102,3,20,28,0,0,b0,2022-02-16 06:22:52.255757+01
604,0,0,102,3,20,27,0,0,b0,2022-02-16 06:33:00.316362+01
605,0,0,102,3,20,27,0,0,b0,2022-02-16 06:35:40.321908+01
606,0,0,102,3,20,27,0,0,b0,2022-02-16 06:36:12.313965+01
607,0,0,102,3,20,27,0,0,b0,2022-02-16 06:38:20.433043+01
608,0,0,102,3,20,27,0,0,b0,2022-02-16 06:38:36.428193+01
609,0,0,102,3,20,27,0,0,b0,2022-02-16 06:39:08.299954+01
610,0,0,102,3,20,27,0,0,b0,2022-02-16 06:41:16.344342+01
611,0,0,102,3,20,27,0,0,b0,2022-02-16 06:42:20.435867+01
612,0,0,102,3,20,27,0,0,b0,2022-02-16 06:44:28.338086+01
613,0,0,102,3,20,27,0,0,b0,2022-02-16 06:48:44.459573+01
614,0,0,102,3,20,27,0,0,b0,2022-02-16 06:50:52.463808+01
615,0,0,102,3,20,27,0,0,b0,2022-02-16 06:51:24.368113+01
616,0,0,102,3,20,27,0,0,b0,2022-02-16 07:00:44.48617+01
617,0,0,102,3,20,27,0,0,b0,2022-02-16 07:04:44.394475+01
618,0,0,102,3,20,27,0,0,b0,2022-02-16 07:07:24.355654+01
619,0,0,102,3,20,27,0,0,b0,2022-02-16 07:08:28.487257+01
620,0,0,102,3,20,27,0,0,b0,2022-02-16 07:14:52.41214+01
621,0,0,102,3,20,27,0,0,b0,2022-02-16 07:18:20.428544+01
622,0,0,102,3,20,27,0,0,b0,2022-02-16 07:19:56.474129+01
623,0,0,102,3,20,28,0,0,b0,2022-02-16 07:20:12.421251+01
624,0,0,102,3,20,28,0,0,b0,2022-02-16 07:23:56.436493+01
625,0,0,102,3,20,28,0,0,b0,2022-02-16 07:27:08.436164+01
626,0,0,102,3,20,28,34,6,b0,2022-02-16 07:28:28.493924+01
627,0,0,102,3,20,28,3,5,b0,2022-02-16 07:30:04.442107+01
628,0,0,102,3,20,28,17,6,b0,2022-02-16 07:30:36.541263+01
629,0,0,102,3,20,28,18,3,b0,2022-02-16 07:31:24.441606+01
630,0,0,102,3,20,28,0,0,b0,2022-02-16 07:43:56.428284+01
631,0,0,102,3,20,28,0,0,b0,2022-02-16 07:44:28.576847+01
632,0,0,102,3,20,28,0,0,b0,2022-02-16 07:46:36.442801+01
633,0,0,102,3,20,28,1,0,b0,2022-02-16 07:51:56.492694+01
634,0,0,102,3,20,28,1,0,b0,2022-02-16 08:02:36.4756+01
635,0,0,102,3,20,28,4,0,b0,2022-02-16 08:17:00.552266+01
636,0,0,102,3,20,28,4,0,b0,2022-02-16 08:18:52.524228+01
637,0,0,19,3,20,29,23,0,b0,2022-02-16 08:34:52.600962+01
638,0,3,71,3,20,29,23,0,b0,2022-02-16 08:40:28.596229+01
639,1,3,21,3,20,29,24,0,b0,2022-02-16 08:42:36.608998+01
640,0,3,26,3,20,30,26,0,b0,2022-02-16 08:51:56.6205+01
641,1,3,233,3,21,30,25,0,b0,2022-02-16 08:55:56.628576+01
642,0,0,87,3,21,30,21,0,b4,2022-02-16 09:01:00.624104+01
643,11,17,29,3,21,30,23,0,b0,2022-02-16 09:07:24.640874+01
644,16,20,33,3,21,30,22,0,b0,2022-02-16 09:12:12.951795+01
645,20,23,35,3,21,30,22,0,b0,2022-02-16 09:21:32.673952+01
646,17,20,24,3,21,30,23,0,b0,2022-02-16 09:24:12.674264+01
647,19,23,18,3,21,30,25,0,b0,2022-02-16 09:26:20.67771+01
648,13,17,32,3,21,30,26,0,b0,2022-02-16 09:31:08.6875+01
649,0,0,28,9,21,30,68,0,b4,2022-02-16 09:43:56.737455+01
650,0,0,41,60,21,31,81,0,b4,2022-02-16 09:46:20.751544+01
651,0,0,42,90,21,30,87,0,b4,2022-02-16 09:47:40.828287+01
652,0,0,26,144,21,30,82,0,b4,2022-02-16 09:50:04.747196+01
653,0,0,23,210,21,30,64,0,b4,2022-02-16 09:59:24.775454+01
654,0,0,10,213,21,30,65,0,b4,2022-02-16 10:01:00.723094+01
655,0,0,27,216,21,30,66,0,b4,2022-02-16 10:05:00.737446+01
656,0,0,26,216,21,30,50,0,b4,2022-02-16 10:07:08.77812+01
657,0,0,26,216,21,30,46,0,b4,2022-02-16 10:07:56.738983+01
658,0,0,26,216,21,30,43,0,b4,2022-02-16 10:09:16.742635+01
659,0,0,64,6,21,31,56,0,b0,2022-02-16 10:30:20.826689+01
660,0,0,65,21,21,31,55,0,b0,2022-02-16 10:30:36.826402+01
661,0,0,66,141,21,31,52,0,b0,2022-02-16 10:34:20.838848+01
662,0,0,66,195,21,30,70,0,b0,2022-02-16 10:39:08.838422+01
663,0,0,65,237,21,30,48,0,b0,2022-02-16 10:47:08.84457+01
664,0,0,65,240,21,30,48,0,b0,2022-02-16 10:47:24.832827+01
665,0,0,65,243,21,30,53,0,b0,2022-02-16 10:49:48.980137+01
666,0,0,71,249,21,30,129,1,b0,2022-02-16 11:17:32.940162+01
667,0,0,71,249,21,30,112,6,b0,2022-02-16 11:21:32.927524+01
668,0,0,71,249,21,30,101,8,b0,2022-02-16 11:26:20.963589+01
669,0,0,71,249,21,30,92,0,b0,2022-02-16 11:30:36.963587+01
670,0,0,71,249,21,30,97,0,b0,2022-02-16 11:32:28.976418+01
671,0,0,27,255,21,31,58,0,b4,2022-02-16 11:50:21.012288+01
672,0,0,27,255,21,31,60,0,b4,2022-02-16 11:51:09.006927+01
673,0,0,27,255,21,31,66,0,b4,2022-02-16 12:00:29.026714+01
674,0,0,28,255,21,31,63,0,b4,2022-02-16 12:05:17.042473+01
675,0,0,27,255,21,31,61,0,b4,2022-02-16 12:05:33.14593+01
676,0,0,27,255,21,31,45,0,b4,2022-02-16 12:10:21.059788+01
677,0,0,27,255,21,31,58,0,b4,2022-02-16 12:13:17.159692+01
678,0,0,28,255,21,31,67,0,b4,2022-02-16 12:15:09.063799+01
679,0,0,28,255,21,32,66,0,b4,2022-02-16 12:17:17.181194+01
680,0,0,27,255,21,31,64,0,b4,2022-02-16 12:18:05.071073+01
681,0,0,36,255,21,31,53,0,b4,2022-02-16 12:26:53.10887+01
682,0,0,36,255,21,31,56,0,b4,2022-02-16 12:33:17.066286+01
683,0,0,36,255,21,31,44,0,b4,2022-02-16 12:40:29.220382+01
684,0,0,36,255,21,31,45,0,b4,2022-02-16 12:45:33.081787+01
